Teacher_ID,Course_ID,Semester,Student_Avg_Score,Teacher_Evaluation_Score,Attendance_Rate,Student_Feedback_Rating,Course_Completion_Rate,Interactive_Sessions_Percent,Assignments_On_Time_Percent,Teaching_Experience_Years,Research_Publications,Tech_Integration_Score,Teaching_Quality
T039,C133,2024-Spring,91.8,7.16,100.0,3.44,79.4,79.54,79.71,13,3,9.37,Good
T029,C122,2025-Spring,82.35,9.94,71.31,4.38,96.17,77.52,87.19,2,2,7.85,Excellent
T015,C121,2025-Spring,69.17,7.1,78.11,4.05,88.35,81.63,74.99,19,8,8.94,Good
T043,C106,2024-Fall,61.99,8.01,86.43,3.92,89.86,65.49,85.23,16,3,5.16,Good
T008,C106,2024-Spring,61.0,6.92,81.11,3.75,87.49,100.0,94.51,12,2,7.43,Good
T021,C148,2024-Fall,46.94,6.49,88.99,3.91,81.43,35.39,82.61,1,2,7.76,Average
T039,C104,2024-Spring,81.94,9.07,94.16,4.08,86.09,91.87,93.75,9,4,5.75,Good
T019,C130,2025-Spring,73.97,10.0,92.49,4.86,100.0,83.53,100.0,17,4,9.23,Excellent
T023,C111,2025-Spring,84.09,6.96,91.1,4.33,84.52,73.72,84.77,10,6,6.63,Good
T011,C130,2024-Spring,89.28,9.32,100.0,3.67,82.06,71.2,89.91,18,4,7.68,Excellent
T011,C131,2024-Fall,76.0,7.01,69.11,3.67,90.71,67.67,88.81,19,4,6.17,Good
T024,C124,2024-Fall,76.46,7.48,99.8,3.59,89.57,86.55,86.8,7,5,5.21,Good
T036,C109,2024-Fall,70.36,10.0,80.87,3.9,88.38,69.4,91.3,19,3,8.37,Good
T040,C103,2024-Fall,71.54,5.89,92.85,3.59,90.07,59.08,83.02,15,2,7.57,Good
T024,C131,2025-Spring,82.28,5.49,74.7,4.24,93.22,83.53,79.7,9,3,7.36,Good
T003,C140,2025-Spring,73.26,7.37,75.92,2.68,87.06,93.77,72.79,10,2,6.58,Good
T022,C137,2025-Spring,71.81,8.5,91.62,4.27,90.97,41.09,82.26,4,2,7.53,Good
T002,C136,2025-Spring,74.82,8.2,65.71,4.14,95.12,100.0,92.21,6,8,8.9,Good
T024,C124,2025-Spring,83.86,8.04,94.89,4.63,85.02,54.45,77.48,4,2,5.97,Good
T044,C131,2024-Fall,68.07,7.55,97.6,4.44,78.39,55.6,86.97,5,4,7.84,Good
T030,C106,2024-Fall,74.33,8.68,86.78,3.66,93.35,51.33,84.02,9,8,7.3,Good
T038,C102,2024-Fall,77.45,3.13,86.42,4.38,100.0,70.01,80.03,12,5,6.72,Good
T002,C120,2024-Fall,86.6,6.37,76.66,3.92,89.96,50.8,70.18,8,7,4.53,Good
T021,C128,2025-Spring,72.61,7.36,91.74,3.03,91.01,52.63,95.9,5,3,6.98,Good
T033,C111,2025-Spring,67.82,8.56,88.48,4.08,88.52,59.67,89.14,11,1,8.01,Good
T012,C104,2025-Spring,70.16,9.73,75.78,3.69,97.94,72.08,100.0,11,2,7.49,Good
T022,C115,2024-Spring,85.53,6.17,81.09,4.0,89.61,73.52,93.64,13,2,4.84,Good
T044,C106,2024-Fall,95.33,9.69,83.41,4.83,89.07,88.62,95.72,14,2,8.87,Excellent
T025,C149,2024-Fall,61.86,6.82,81.07,4.11,94.55,88.27,71.01,8,6,9.47,Good
T049,C130,2025-Spring,64.05,7.31,71.37,3.49,87.58,85.37,70.87,18,2,6.84,Good
T027,C138,2024-Fall,73.31,8.37,91.99,4.48,83.58,66.08,85.34,19,5,10.0,Good
T042,C102,2024-Fall,76.11,7.2,82.56,4.18,94.41,42.38,75.82,12,2,5.76,Good
T028,C115,2025-Spring,82.87,9.17,85.15,3.43,87.04,42.05,79.55,12,4,5.09,Good
T016,C111,2024-Spring,66.09,6.89,79.22,3.2,85.12,85.27,100.0,18,5,5.48,Good
T015,C108,2024-Spring,64.37,6.92,89.75,3.51,100.0,82.66,94.52,10,1,7.37,Good
T047,C126,2024-Spring,76.38,9.08,86.99,4.42,89.11,60.75,77.51,7,4,4.33,Good
T044,C145,2025-Spring,72.42,6.36,97.13,3.85,92.47,48.39,66.07,18,1,6.53,Good
T003,C144,2024-Fall,84.27,7.87,89.81,4.04,90.15,54.29,76.84,12,5,10.0,Good
T037,C105,2025-Spring,79.87,5.01,82.97,3.33,85.57,72.62,80.54,14,6,4.74,Good
T007,C106,2025-Spring,80.55,10.0,77.6,4.43,93.45,72.65,82.43,15,4,6.18,Good
T021,C126,2024-Fall,73.96,9.31,93.66,2.99,91.57,85.64,74.77,16,3,5.45,Good
T009,C104,2024-Spring,98.56,10.0,82.17,3.67,86.7,63.24,94.04,2,1,6.57,Excellent
T039,C119,2024-Spring,66.62,9.51,83.28,4.21,92.17,66.34,79.31,18,1,6.48,Good
T018,C120,2025-Spring,81.11,5.81,83.28,3.44,87.43,86.88,90.19,12,1,6.0,Good
T004,C133,2024-Spring,62.3,8.5,80.98,4.31,84.48,38.12,85.43,16,3,6.77,Good
T025,C120,2025-Spring,64.27,6.12,83.45,3.57,83.97,74.76,92.51,13,2,7.95,Good
T014,C149,2025-Spring,68.93,9.87,100.0,3.39,91.35,64.99,83.1,17,0,9.08,Good
T050,C112,2024-Fall,91.29,5.85,74.52,4.64,88.09,80.69,77.6,18,1,6.57,Good
T009,C147,2024-Fall,77.64,5.78,76.85,4.08,97.51,77.69,80.21,3,6,7.01,Good
T026,C101,2024-Fall,69.1,5.09,98.84,4.26,89.79,59.56,80.32,10,4,7.69,Good
T002,C126,2025-Spring,78.74,6.77,81.25,4.51,86.07,62.39,100.0,1,2,5.15,Good
T020,C114,2024-Fall,75.35,6.47,80.49,2.69,90.79,35.47,85.61,6,4,6.77,Good
T028,C138,2024-Spring,70.08,5.61,95.35,4.32,83.53,81.25,85.04,3,5,6.24,Good
T047,C137,2024-Spring,61.03,10.0,70.8,3.62,89.58,73.6,92.06,19,0,8.43,Good
T007,C111,2025-Spring,89.39,8.29,93.21,3.69,91.6,90.98,85.0,4,0,9.63,Excellent
T044,C136,2025-Spring,77.1,8.12,85.46,4.22,90.98,64.01,93.97,3,4,5.83,Good
T008,C113,2024-Fall,96.74,9.88,89.65,3.82,96.51,83.72,82.02,8,3,8.92,Excellent
T047,C143,2025-Spring,84.4,7.88,89.46,4.3,100.0,53.95,81.21,8,4,4.81,Good
T035,C103,2025-Spring,80.51,6.38,78.72,3.98,93.36,29.43,77.16,7,1,7.3,Good
T014,C133,2024-Spring,70.65,4.95,95.51,4.08,95.89,68.58,99.8,2,3,7.39,Good
T017,C106,2024-Spring,64.05,6.29,79.5,3.75,100.0,61.5,84.44,6,4,4.77,Good
T036,C150,2024-Fall,72.82,9.76,89.09,3.47,84.97,54.24,75.61,16,2,5.76,Good
T050,C110,2025-Spring,63.76,5.62,97.38,3.63,90.65,83.47,86.57,10,5,5.61,Good
T040,C105,2025-Spring,81.5,8.03,98.79,3.95,87.61,88.12,79.8,4,2,5.03,Good
T004,C123,2024-Spring,91.33,9.05,82.33,4.92,94.21,71.58,81.88,13,4,3.0,Good
T002,C110,2025-Spring,72.39,7.93,89.63,4.74,91.36,67.26,87.49,10,2,6.69,Good
T006,C144,2024-Spring,84.44,8.1,81.41,3.67,85.91,70.94,97.17,14,3,6.87,Good
T042,C102,2024-Fall,68.11,8.48,100.0,4.03,90.05,60.21,85.81,9,3,6.86,Good
T004,C113,2024-Spring,71.98,8.07,92.8,3.86,95.23,78.44,79.31,11,0,8.15,Good
T029,C140,2025-Spring,66.85,9.91,85.84,4.07,83.48,46.91,80.96,18,5,4.09,Good
T018,C102,2024-Fall,53.67,5.94,88.13,4.13,86.01,53.9,90.25,11,5,6.43,Good
T026,C120,2024-Spring,74.63,7.86,89.07,4.26,85.26,58.13,69.33,17,2,10.0,Good
T044,C101,2024-Spring,76.28,4.77,89.37,2.55,91.63,78.12,76.66,2,2,8.33,Good
T034,C137,2024-Fall,85.66,4.39,82.6,4.18,96.2,65.46,86.7,3,1,8.34,Good
T010,C109,2024-Fall,82.95,7.38,81.06,3.8,79.95,90.41,71.35,11,0,5.48,Good
T036,C117,2024-Spring,83.09,8.32,83.48,3.65,90.47,82.05,82.5,18,5,6.71,Good
T014,C109,2025-Spring,65.26,9.95,73.6,4.4,85.38,57.98,81.17,3,2,3.55,Good
T031,C111,2024-Spring,79.59,10.0,92.18,4.73,95.03,79.5,92.02,15,5,7.88,Excellent
T048,C115,2024-Fall,90.83,9.48,76.98,4.34,88.82,63.88,83.0,11,3,9.1,Excellent
T015,C124,2024-Spring,78.8,8.59,74.4,3.74,90.65,77.1,94.49,11,1,4.83,Good
T008,C138,2024-Fall,93.29,7.74,84.86,3.46,89.99,82.78,85.63,11,1,5.26,Good
T014,C135,2024-Fall,95.19,5.2,83.7,2.5,95.62,86.72,99.21,19,4,6.95,Good
T023,C130,2025-Spring,72.32,7.28,87.5,4.09,100.0,73.03,73.9,1,5,7.23,Good
T040,C131,2024-Fall,68.03,9.44,79.32,4.29,84.33,94.0,97.94,5,1,6.19,Good
T021,C149,2024-Fall,67.39,8.85,81.07,3.95,85.24,76.62,81.71,10,0,5.78,Good
